horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
7,generalsum,State of the Art,2,6.833755731582642,26,8.257454295007408,[13.78896574 -0.57332044  3.07111326  2.21333978],0.04
7,generalsum,Stackelberg,3,5.108466863632202,26,8.257454295007408,[13.78896574 -0.57332044  3.07111326  2.21333978],0.008
7,generalsum,State of the Art,3,4.212653160095215,26,8.257454295007408,[13.78896574 -0.57332044  3.07111326  2.21333978],0.008
8,cooperative,Stackelberg,1,3.4506919384002686,16,23.6365821646,[23.63658216  0.5         0.5        -3.        ],0.2
8,cooperative,State of the Art,1,0.2964358329772949,16,23.6365821646,[23.63658216  0.5         0.5        -3.        ],0.2
8,cooperative,Stackelberg,2,4.954405069351196,26,23.6365821646,[23.63658216  0.5         0.5        -3.        ],0.04
8,cooperative,State of the Art,2,0.46795105934143066,26,23.6365821646,[23.63658216  0.5         0.5        -3.        ],0.04
8,cooperative,Stackelberg,3,4.960643768310547,26,23.6365821646,[23.63658216  0.5         0.5        -3.        ],0.008
8,cooperative,State of the Art,3,0.469257116317749,26,23.6365821646,[23.63658216  0.5         0.5        -3.        ],0.008
8,zerosum,Stackelberg,1,3.6106910705566406,16,1.070138235430738,[-1.07013824  0.65379287  1.57149455  3.73131031],0.2
8,zerosum,State of the Art,1,2.9361488819122314,16,1.070138235430738,[-1.07013824  0.65379287 -0.00551734  3.73131031],0.2
8,zerosum,Stackelberg,2,5.72658896446228,26,1.0704228097133341,[-1.07042281  0.65379524  1.5714916   3.73131068],0.04
8,zerosum,State of the Art,2,4.83803391456604,26,1.0704228097133344,[-1.07042281  0.65379524 -0.00551632  3.73131068],0.04
8,zerosum,Stackelberg,3,5.4603941440582275,26,1.0704228097133341,[-1.07042281  0.65379524  1.5714916   3.73131068],0.008
8,zerosum,State of the Art,3,4.851140022277832,26,1.0704228097133344,[-1.07042281  0.65379524 -0.00551632  3.73131068],0.008
8,generalsum,Stackelberg,1,3.261096954345703,16,7.6654256192584835,[16.19600122 -0.69362891  3.05106185  2.15318555],0.2
8,generalsum,State of the Art,1,3.290309190750122,16,7.6654256192584835,[16.19600122 -0.69362891  3.05106185  2.15318555],0.2
8,generalsum,Stackelberg,2,5.16142201423645,26,8.09030784637983,[16.19600177 -0.69363175  3.05106138  2.15318413],0.04
8,generalsum,State of the Art,2,5.593785285949707,26,8.09030784637983,[16.19600177 -0.69363175  3.05106138  2.15318413],0.04
8,generalsum,Stackelberg,3,6.65320897102356,26,8.09030784637983,[16.19600177 -0.69363175  3.05106138  2.15318413],0.008
8,generalsum,State of the Art,3,6.003753900527954,26,8.09030784637983,[16.19600177 -0.69363175  3.05106138  2.15318413],0.008
9,cooperative,Stackelberg,1,4.076042890548706,16,26.404514153153997,[26.40451415  0.5         0.5        -3.        ],0.2
9,cooperative,State of the Art,1,0.3557870388031006,16,26.404514153153997,[26.40451415  0.5         0.5        -3.        ],0.2
9,cooperative,Stackelberg,2,6.063807964324951,26,26.404514153153997,[26.40451415  0.5         0.5        -3.        ],0.04
9,cooperative,State of the Art,2,0.5575501918792725,26,26.404514153153997,[26.40451415  0.5         0.5        -3.        ],0.04
